id,artistName,endTime,msPlayed,trackName
2290,Lonely in the Rain,2023-11-23 22:45:00,155010,Chasing My Dreams
2291,Piece Wise,2023-11-23 22:48:00,163410,Found It With You
2292,Luca,2023-11-23 22:50:00,138000,Keep You Away
2293,Lost In Pacific,2023-11-23 22:53:00,150545,Beside Me
2294,Nu Aspect,2023-11-23 22:56:00,192122,Afterlife
2295,Ruffnux,2023-11-23 22:59:00,150000,Gravity
2296,Jane Good,2023-11-23 23:01:00,125347,The One
2297,MALOYA,2023-11-23 23:03:00,138782,Without You
2298,Kidswaste,2023-11-23 23:06:00,157783,Home
2299,Sole Sole,2023-11-23 23:08:00,128823,Always Together
2300,Lyrah,2023-11-23 23:10:00,113860,Dream You Better
2301,Lavern,2023-11-23 23:12:00,142674,Sunshine
2302,Coffee Cub,2023-11-23 23:14:00,141453,I Need You
2303,PALASTIC,2023-11-23 23:17:00,149374,Through the Fire
2304,Nu Aspect,2023-11-23 23:19:00,148893,Something Real
2305,Sole Sole,2023-11-23 23:22:00,139563,Coast Ride
2306,Luca,2023-11-23 23:24:00,122086,Leaving Ground - 2022 Edit
2307,rayn,2023-11-23 23:26:00,131886,hold me now
2308,Coffee Cub,2023-11-23 23:28:00,145833,Ibiza
2309,Angrybaby,2023-11-23 23:31:00,174545,HOLD YOU
2310,Nu Aspect,2023-11-23 23:34:00,159586,If You Wanna
2311,ROW,2023-11-23 23:36:00,135245,I Can't See
2312,Keanler,2023-11-23 23:39:00,173798,Different Light
2313,Tim Olsson,2023-11-23 23:42:00,146339,Sweet Escape
2314,Friends & I,2023-11-23 23:44:00,150000,Does It Mean I Love U
2315,Y.V.E. 48,2023-11-23 23:47:00,140357,All This Time
2316,Indigo Pool,2023-11-23 23:49:00,146351,Broken Waves
2317,Astrality,2023-11-23 23:52:00,158819,Times Are Changing
2318,Lonely in the Rain,2023-11-23 23:54:00,140880,In Love Again
2319,Lost In Pacific,2023-11-23 23:57:00,164820,Head Heart Body
2320,Lyrah,2023-11-24 00:00:00,159000,In the Leaves
2321,Nu Aspect,2023-11-24 00:03:00,194107,Miss You
2322,Jane Good,2023-11-24 00:05:00,122625,Keeps Me High
2323,Lonely in the Rain,2023-11-24 00:07:00,155010,Chasing My Dreams
2324,Piece Wise,2023-11-24 00:10:00,163410,Found It With You
2325,Luca,2023-11-24 00:12:00,138000,Keep You Away
2326,Lost In Pacific,2023-11-24 00:15:00,150545,Beside Me
